INSERT INTO profile VALUES (0,'Carpanin Toor','CarpaninToor@gmail.com','2CR3UD#&','1994-12-10','2023-04-18 18:31:51');
INSERT INTO friend VALUES (75,84,2022-07-09,'Lets be friends!');
INSERT INTO friend VALUES (46,108,2023-05-07,'Lets be friends!');
INSERT INTO friend VALUES (41,74,2023-10-14,'Lets be friends!');
INSERT INTO friend VALUES (9,73,2021-06-24,'Lets be friends!');
INSERT INTO friend VALUES (28,85,2022-06-19,'Lets be friends!');
INSERT INTO friend VALUES (65,58,2022-03-03,'Lets be friends!');
INSERT INTO friend VALUES (14,42,2021-03-06,'Lets be friends!');
INSERT INTO friend VALUES (33,83,2021-09-10,'Lets be friends!');
INSERT INTO friend VALUES (61,106,2021-07-04,'Lets be friends!');
INSERT INTO friend VALUES (73,57,2022-08-07,'Lets be friends!');
INSERT INTO friend VALUES (29,61,2023-04-23,'Lets be friends!');
INSERT INTO friend VALUES (5,71,2022-03-25,'Lets be friends!');
INSERT INTO friend VALUES (43,64,2021-08-28,'Lets be friends!');
INSERT INTO friend VALUES (37,35,2021-09-07,'Lets be friends!');
INSERT INTO friend VALUES (86,94,2023-03-30,'Lets be friends!');
INSERT INTO friend VALUES (51,27,2023-08-29,'Lets be friends!');
INSERT INTO friend VALUES (63,109,2022-06-26,'Lets be friends!');
INSERT INTO friend VALUES (92,77,2022-02-23,'Lets be friends!');
INSERT INTO friend VALUES (0,96,2023-08-16,'Lets be friends!');
INSERT INTO friend VALUES (49,39,2021-06-15,'Lets be friends!');
INSERT INTO friend VALUES (99,49,2021-01-02,'Lets be friends!');
INSERT INTO friend VALUES (88,37,2022-02-19,'Lets be friends!');
INSERT INTO friend VALUES (42,2,2021-05-09,'Lets be friends!');
INSERT INTO friend VALUES (69,64,2023-07-28,'Lets be friends!');
INSERT INTO friend VALUES (68,109,2022-11-09,'Lets be friends!');
INSERT INTO friend VALUES (25,77,2021-03-31,'Lets be friends!');
INSERT INTO friend VALUES (81,26,2022-03-30,'Lets be friends!');
INSERT INTO friend VALUES (76,27,2022-03-01,'Lets be friends!');
INSERT INTO friend VALUES (18,62,2021-01-22,'Lets be friends!');
INSERT INTO friend VALUES (1,15,2023-03-24,'Lets be friends!');
INSERT INTO friend VALUES (32,65,2021-07-27,'Lets be friends!');
INSERT INTO friend VALUES (18,107,2023-01-09,'Lets be friends!');
INSERT INTO friend VALUES (83,58,2023-11-12,'Lets be friends!');
INSERT INTO friend VALUES (12,52,2022-06-18,'Lets be friends!');
INSERT INTO friend VALUES (63,98,2023-09-26,'Lets be friends!');
INSERT INTO friend VALUES (6,63,2022-06-10,'Lets be friends!');
INSERT INTO friend VALUES (89,31,2021-08-21,'Lets be friends!');
INSERT INTO friend VALUES (46,56,2023-07-05,'Lets be friends!');
INSERT INTO friend VALUES (60,36,2021-07-29,'Lets be friends!');
INSERT INTO friend VALUES (59,57,2023-06-25,'Lets be friends!');
INSERT INTO friend VALUES (108,74,2023-11-07,'Lets be friends!');
INSERT INTO friend VALUES (9,53,2022-02-08,'Lets be friends!');
INSERT INTO friend VALUES (54,2,2022-08-08,'Lets be friends!');
INSERT INTO friend VALUES (80,20,2022-05-05,'Lets be friends!');
INSERT INTO friend VALUES (91,71,2022-10-28,'Lets be friends!');
INSERT INTO groupInfo VALUES (0,reocuqjdkp,20,'lhjafrgvxugjdldknwqkplfjhqoqbzwkpgpsdrqtgqvuzgwpoqwqvbihidiuplsdhwcwhxcheur');
INSERT INTO groupInfo VALUES (1,ifzwtulpew,20,'ggqsqqlhlpjjhmwekhbnedtnpqkpnfwknppdeuaqlygddmbckgkfgskkofdutvzqcjrwobxskdu');
INSERT INTO groupInfo VALUES (2,fbgnwflfad,20,'bthpneawupaspizuknykuhgubyagcekzjsytopnhgtkkklyefhdtuucqgfbvcskhjzjjppfszeq');
INSERT INTO groupInfo VALUES (3,zadsctaspe,20,'ucwwourzvlmcvovixcslzfomwhwlayfsiyaycmfaduuprmbdetenuksepvmumuboqfbefmtzfzm');
INSERT INTO groupInfo VALUES (4,bpgvkvwfhv,20,'onoeffhmbqmrojmkfgbtbsydyalobaekcdjktmhpcuzjaprfkmgusqcwrxdkcvhmeegysbldlgv');
INSERT INTO groupInfo VALUES (5,ekpitejfdy,20,'zckyxzwahpnioshtoqthcdshjauyxnqjdcwwdxotzapdqzorsejlmouumiwbsclnxnxuoxgoitp');
INSERT INTO groupInfo VALUES (6,eulqakansw,20,'giuqxovinjdfplpftdxdrupkrycdrsnqgqotqghrgbbhhlsslozdwbvqzptstbxqcawugqojavg');
INSERT INTO groupInfo VALUES (7,kttproyjtm,20,'wtmpwcsgjsnntcxcjkayxiwtfqzrfumhvshsfghaytfmredbgbaykxhpqjqxorstbqvwbnzauin');
INSERT INTO groupInfo VALUES (8,ezszrwgepn,20,'kfusbgjcwvorrggkqcdgmzfehnedsysaukniacwshcblnraidsudwsqxmoqfsplcvkgxsjqcbut');
INSERT INTO groupInfo VALUES (9,woeyyuerup,20,'xnzmmyqffbhyrvdqknkavhpwrxdwiwxihtltdbzgbzmevcheazvxcvwtbnenqtoiagwkwlwzrew');
INSERT INTO groupMember VALUES (0,96,user,'2013-02-17 03:29:02');
INSERT INTO groupMember VALUES (0,13,user,'1966-09-28 18:00:31');
INSERT INTO groupMember VALUES (0,39,user,'2023-02-11 20:57:56');
INSERT INTO groupMember VALUES (0,87,user,'1979-12-26 07:37:42');
INSERT INTO groupMember VALUES (0,81,user,'1988-11-13 02:01:14');
INSERT INTO groupMember VALUES (0,95,user,'1964-06-22 06:07:53');
INSERT INTO groupMember VALUES (0,15,user,'1963-03-06 14:59:34');
INSERT INTO groupMember VALUES (0,7,user,'2022-03-30 15:10:57');
INSERT INTO groupMember VALUES (0,34,user,'1960-12-22 13:07:07');
INSERT INTO groupMember VALUES (0,77,user,'1970-04-08 02:41:19');
INSERT INTO groupMember VALUES (0,22,user,'1965-05-01 20:28:39');
INSERT INTO groupMember VALUES (0,94,user,'2001-01-23 00:49:13');
INSERT INTO groupMember VALUES (0,70,user,'1962-12-08 09:11:12');
INSERT INTO groupMember VALUES (0,20,user,'2023-01-28 19:04:58');
INSERT INTO groupMember VALUES (0,18,user,'2012-06-01 23:04:54');
INSERT INTO groupMember VALUES (0,98,user,'1966-07-31 15:14:32');
INSERT INTO groupMember VALUES (0,102,user,'1986-03-26 03:15:04');
INSERT INTO groupMember VALUES (0,41,user,'2005-02-03 03:29:42');
INSERT INTO groupMember VALUES (0,59,user,'1951-04-29 02:38:21');
INSERT INTO groupMember VALUES (0,62,user,'1965-01-19 08:29:57');
INSERT INTO groupMember VALUES (1,1,user,'2009-09-01 07:57:11');
INSERT INTO groupMember VALUES (1,57,user,'1986-02-22 04:18:16');
INSERT INTO groupMember VALUES (1,98,user,'1955-09-28 07:20:27');
INSERT INTO groupMember VALUES (1,72,user,'2010-12-06 06:10:28');
INSERT INTO groupMember VALUES (1,65,user,'2011-10-28 01:30:28');
INSERT INTO groupMember VALUES (1,101,user,'1986-07-02 22:20:40');
INSERT INTO groupMember VALUES (1,78,user,'1961-07-31 16:30:23');
INSERT INTO groupMember VALUES (1,62,user,'1981-07-19 19:47:16');
INSERT INTO groupMember VALUES (1,95,user,'1991-10-30 21:26:21');
INSERT INTO groupMember VALUES (1,25,user,'2003-05-02 13:15:13');
INSERT INTO groupMember VALUES (1,59,user,'1967-06-10 03:00:17');
INSERT INTO groupMember VALUES (1,38,user,'1999-06-05 01:01:04');
INSERT INTO groupMember VALUES (1,40,user,'1979-03-29 07:20:39');
INSERT INTO groupMember VALUES (1,81,user,'2009-12-25 04:32:44');
INSERT INTO groupMember VALUES (1,48,user,'1982-10-28 17:59:59');
INSERT INTO groupMember VALUES (1,77,user,'2022-06-23 11:42:58');
INSERT INTO groupMember VALUES (1,14,user,'2022-04-13 05:56:03');
INSERT INTO groupMember VALUES (1,18,user,'1990-12-11 11:20:32');
INSERT INTO groupMember VALUES (1,94,user,'1969-07-10 23:47:59');
INSERT INTO groupMember VALUES (1,100,user,'2006-01-31 11:27:54');
INSERT INTO groupMember VALUES (2,97,user,'1997-08-07 00:46:13');
INSERT INTO groupMember VALUES (2,26,user,'1997-03-31 08:15:06');
INSERT INTO groupMember VALUES (2,105,user,'1998-07-08 21:56:34');
INSERT INTO groupMember VALUES (2,63,user,'1985-02-17 18:21:19');
INSERT INTO groupMember VALUES (2,49,user,'1995-09-01 23:53:03');
INSERT INTO groupMember VALUES (2,94,user,'2002-06-25 22:07:12');
INSERT INTO groupMember VALUES (2,54,user,'1999-07-01 16:00:18');
INSERT INTO groupMember VALUES (2,106,user,'1997-04-04 07:02:31');
INSERT INTO groupMember VALUES (2,73,user,'1995-08-03 11:50:35');
INSERT INTO groupMember VALUES (2,103,user,'1984-06-09 15:07:21');
INSERT INTO groupMember VALUES (2,82,user,'1976-05-12 22:16:54');
INSERT INTO groupMember VALUES (2,89,user,'2013-06-27 17:57:52');
INSERT INTO groupMember VALUES (2,56,user,'2020-09-10 19:40:42');
INSERT INTO groupMember VALUES (2,19,user,'1986-05-16 15:56:23');
INSERT INTO groupMember VALUES (2,92,user,'1983-05-15 04:53:36');
INSERT INTO groupMember VALUES (2,67,user,'1999-03-01 22:56:13');
INSERT INTO groupMember VALUES (2,76,user,'1954-11-06 03:11:42');
INSERT INTO groupMember VALUES (2,28,user,'1983-06-29 18:46:52');
INSERT INTO groupMember VALUES (2,85,user,'1964-04-01 10:11:40');
INSERT INTO groupMember VALUES (2,59,user,'1974-10-05 12:55:27');
INSERT INTO groupMember VALUES (3,59,user,'1966-05-19 03:32:12');
INSERT INTO groupMember VALUES (3,35,user,'1992-12-03 16:54:06');
INSERT INTO groupMember VALUES (3,27,user,'1974-10-02 21:48:52');
INSERT INTO groupMember VALUES (3,76,user,'1975-08-30 00:58:11');
INSERT INTO groupMember VALUES (3,33,user,'1979-02-17 22:29:27');
INSERT INTO groupMember VALUES (3,107,user,'1952-01-15 16:15:21');
INSERT INTO groupMember VALUES (3,4,user,'1959-06-02 23:55:34');
INSERT INTO groupMember VALUES (3,43,user,'1982-11-12 09:36:48');
INSERT INTO groupMember VALUES (3,26,user,'1963-01-05 15:43:55');
INSERT INTO groupMember VALUES (3,45,user,'1991-02-20 03:51:54');
INSERT INTO groupMember VALUES (3,38,user,'1969-07-16 01:47:36');
INSERT INTO groupMember VALUES (3,52,user,'1987-07-31 03:32:25');
INSERT INTO groupMember VALUES (3,22,user,'1966-04-21 07:19:20');
INSERT INTO groupMember VALUES (3,21,user,'1999-10-12 18:21:04');
INSERT INTO groupMember VALUES (3,77,user,'1967-01-17 14:55:16');
INSERT INTO groupMember VALUES (3,102,user,'1986-08-12 19:20:31');
INSERT INTO groupMember VALUES (3,12,user,'1955-08-18 06:50:43');
INSERT INTO groupMember VALUES (3,81,user,'1951-08-17 19:10:51');
INSERT INTO groupMember VALUES (3,56,user,'2015-08-02 06:02:24');
INSERT INTO groupMember VALUES (3,83,user,'2021-08-25 10:39:53');
INSERT INTO groupMember VALUES (4,88,user,'2006-07-10 13:21:33');
INSERT INTO groupMember VALUES (4,73,user,'1957-12-02 14:32:48');
INSERT INTO groupMember VALUES (4,48,user,'1994-01-15 05:21:06');
INSERT INTO groupMember VALUES (4,92,user,'2009-11-04 01:45:30');
INSERT INTO groupMember VALUES (4,79,user,'1961-07-24 22:23:07');
INSERT INTO groupMember VALUES (4,76,user,'2001-05-07 04:49:08');
INSERT INTO groupMember VALUES (4,59,user,'1955-06-20 00:02:46');
INSERT INTO groupMember VALUES (4,53,user,'1950-08-11 12:14:00');
INSERT INTO groupMember VALUES (4,58,user,'1992-04-06 22:32:53');
INSERT INTO groupMember VALUES (4,107,user,'2001-11-02 23:36:35');
INSERT INTO groupMember VALUES (4,25,user,'2019-04-25 05:01:35');
INSERT INTO groupMember VALUES (4,49,user,'2015-02-15 10:08:49');
INSERT INTO groupMember VALUES (4,32,user,'2015-04-20 13:08:03');
INSERT INTO groupMember VALUES (4,98,user,'1990-05-04 09:05:18');
INSERT INTO groupMember VALUES (4,22,user,'1970-02-20 04:43:36');
INSERT INTO groupMember VALUES (4,72,user,'1998-08-14 10:54:43');
INSERT INTO groupMember VALUES (4,90,user,'2016-11-21 12:21:35');
INSERT INTO groupMember VALUES (4,96,user,'2013-12-07 11:04:24');
INSERT INTO groupMember VALUES (4,44,user,'1965-02-05 22:55:24');
INSERT INTO groupMember VALUES (4,57,user,'1962-09-03 06:01:03');
INSERT INTO groupMember VALUES (5,92,user,'2013-04-21 09:55:00');
INSERT INTO groupMember VALUES (5,23,user,'1962-04-09 01:38:03');
INSERT INTO groupMember VALUES (5,63,user,'1993-09-05 20:59:22');
INSERT INTO groupMember VALUES (5,66,user,'1969-05-31 16:57:56');
INSERT INTO groupMember VALUES (5,3,user,'1991-09-02 22:17:39');
INSERT INTO groupMember VALUES (5,20,user,'2014-11-27 18:23:47');
INSERT INTO groupMember VALUES (5,44,user,'1986-09-27 05:07:28');
INSERT INTO groupMember VALUES (5,52,user,'1973-03-03 09:48:25');
INSERT INTO groupMember VALUES (5,81,user,'2007-10-29 03:01:40');
INSERT INTO groupMember VALUES (5,49,user,'1984-04-28 17:03:35');
INSERT INTO groupMember VALUES (5,45,user,'1989-05-09 19:16:30');
INSERT INTO groupMember VALUES (5,48,user,'1983-07-27 09:44:35');
INSERT INTO groupMember VALUES (5,67,user,'1973-09-16 12:33:11');
INSERT INTO groupMember VALUES (5,33,user,'2013-04-07 10:59:24');
INSERT INTO groupMember VALUES (5,36,user,'1979-09-04 10:53:57');
INSERT INTO groupMember VALUES (5,1,user,'1998-02-06 23:38:46');
INSERT INTO groupMember VALUES (5,88,user,'1989-12-21 15:13:57');
INSERT INTO groupMember VALUES (5,76,user,'1982-02-12 02:39:42');
INSERT INTO groupMember VALUES (5,46,user,'1950-07-06 22:59:24');
INSERT INTO groupMember VALUES (5,75,user,'2018-12-17 20:31:09');
INSERT INTO groupMember VALUES (6,54,user,'1968-05-31 18:02:50');
INSERT INTO groupMember VALUES (6,6,user,'2000-06-02 01:47:51');
INSERT INTO groupMember VALUES (6,14,user,'1960-05-29 11:59:07');
INSERT INTO groupMember VALUES (6,43,user,'1983-05-17 23:34:04');
INSERT INTO groupMember VALUES (6,83,user,'1966-06-20 04:49:34');
INSERT INTO groupMember VALUES (6,68,user,'1965-11-13 23:34:48');
INSERT INTO groupMember VALUES (6,79,user,'1967-10-14 09:18:48');
INSERT INTO groupMember VALUES (6,2,user,'2007-07-25 01:24:41');
INSERT INTO groupMember VALUES (6,88,user,'1969-05-09 08:11:19');
INSERT INTO groupMember VALUES (6,71,user,'1963-04-03 19:18:38');
INSERT INTO groupMember VALUES (6,33,user,'1989-03-18 07:41:59');
INSERT INTO groupMember VALUES (6,107,user,'1991-08-30 19:02:17');
INSERT INTO groupMember VALUES (6,11,user,'1987-09-05 08:41:45');
INSERT INTO groupMember VALUES (6,66,user,'2022-12-14 16:55:37');
INSERT INTO groupMember VALUES (6,27,user,'2017-03-04 06:09:12');
INSERT INTO groupMember VALUES (6,84,user,'1962-11-11 05:25:56');
INSERT INTO groupMember VALUES (6,26,user,'1956-07-07 12:08:29');
INSERT INTO groupMember VALUES (6,21,user,'1953-08-05 06:39:39');
INSERT INTO groupMember VALUES (6,104,user,'1951-06-06 17:29:52');
INSERT INTO groupMember VALUES (6,77,user,'2012-05-03 08:46:06');
INSERT INTO groupMember VALUES (7,100,user,'1961-08-22 22:35:53');
INSERT INTO groupMember VALUES (7,60,user,'1989-08-03 09:12:16');
INSERT INTO groupMember VALUES (7,31,user,'1971-12-24 06:09:46');
INSERT INTO groupMember VALUES (7,39,user,'1999-12-22 13:30:18');
INSERT INTO groupMember VALUES (7,23,user,'1980-11-10 15:17:39');
INSERT INTO groupMember VALUES (7,107,user,'1961-03-23 20:13:31');
INSERT INTO groupMember VALUES (7,106,user,'2011-08-08 17:54:50');
INSERT INTO groupMember VALUES (7,61,user,'2014-03-20 01:01:51');
INSERT INTO groupMember VALUES (7,5,user,'2021-07-31 23:53:36');
INSERT INTO groupMember VALUES (7,45,user,'1983-10-20 12:09:13');
INSERT INTO groupMember VALUES (7,59,user,'2018-12-31 06:33:25');
INSERT INTO groupMember VALUES (7,6,user,'2013-03-03 04:01:10');
INSERT INTO groupMember VALUES (7,67,user,'1950-11-17 02:34:45');
INSERT INTO groupMember VALUES (7,38,user,'1998-11-30 11:41:48');
INSERT INTO groupMember VALUES (7,37,user,'2017-01-22 01:41:29');
INSERT INTO groupMember VALUES (7,83,user,'1995-11-13 02:21:00');
INSERT INTO groupMember VALUES (7,12,user,'2019-01-11 09:00:03');
INSERT INTO groupMember VALUES (7,104,user,'2002-05-29 14:19:38');
INSERT INTO groupMember VALUES (7,66,user,'1987-12-18 07:24:04');
INSERT INTO groupMember VALUES (7,99,user,'2022-02-06 22:19:24');
INSERT INTO groupMember VALUES (8,49,user,'1972-12-31 16:48:48');
INSERT INTO groupMember VALUES (8,9,user,'1970-01-12 18:57:51');
INSERT INTO groupMember VALUES (8,22,user,'1981-06-14 07:57:13');
INSERT INTO groupMember VALUES (8,48,user,'1984-10-26 04:47:47');
INSERT INTO groupMember VALUES (8,107,user,'2018-06-09 14:30:31');
INSERT INTO groupMember VALUES (8,108,user,'1958-09-27 04:32:25');
INSERT INTO groupMember VALUES (8,45,user,'1952-08-10 02:46:06');
INSERT INTO groupMember VALUES (8,103,user,'1963-04-15 12:37:30');
INSERT INTO groupMember VALUES (8,106,user,'1995-07-13 13:26:18');
INSERT INTO groupMember VALUES (8,12,user,'1979-01-03 12:39:59');
INSERT INTO groupMember VALUES (8,14,user,'1970-04-28 04:26:52');
INSERT INTO groupMember VALUES (8,7,user,'1972-03-15 10:26:17');
INSERT INTO groupMember VALUES (8,58,user,'2008-05-07 06:06:08');
INSERT INTO groupMember VALUES (8,29,user,'1998-06-15 08:25:55');
INSERT INTO groupMember VALUES (8,41,user,'2021-02-14 21:16:30');
INSERT INTO groupMember VALUES (8,33,user,'2021-08-07 10:55:47');
INSERT INTO groupMember VALUES (8,72,user,'2015-10-23 22:44:23');
INSERT INTO groupMember VALUES (8,47,user,'2003-05-25 17:54:06');
INSERT INTO groupMember VALUES (8,109,user,'1989-06-05 11:40:31');
INSERT INTO groupMember VALUES (8,18,user,'2000-05-25 10:43:54');
INSERT INTO groupMember VALUES (9,98,user,'1959-12-16 11:51:45');
INSERT INTO groupMember VALUES (9,84,user,'1971-03-23 00:36:38');
INSERT INTO groupMember VALUES (9,5,user,'1974-11-15 23:43:55');
INSERT INTO groupMember VALUES (9,10,user,'1978-02-24 22:30:44');
INSERT INTO groupMember VALUES (9,46,user,'1987-12-06 19:43:05');
INSERT INTO groupMember VALUES (9,26,user,'1950-01-13 08:39:07');
INSERT INTO groupMember VALUES (9,76,user,'1997-06-17 17:21:23');
INSERT INTO groupMember VALUES (9,40,user,'1986-06-02 16:57:27');
INSERT INTO groupMember VALUES (9,9,user,'1978-05-25 00:50:00');
INSERT INTO groupMember VALUES (9,11,user,'1975-05-25 03:08:11');
INSERT INTO groupMember VALUES (9,35,user,'1951-04-19 16:47:29');
INSERT INTO groupMember VALUES (9,90,user,'1965-03-03 02:00:21');
INSERT INTO groupMember VALUES (9,105,user,'1980-02-28 22:35:09');
INSERT INTO groupMember VALUES (9,42,user,'1963-04-27 15:03:45');
INSERT INTO groupMember VALUES (9,52,user,'2007-08-16 17:11:09');
INSERT INTO groupMember VALUES (9,39,user,'1985-07-05 05:29:27');
INSERT INTO groupMember VALUES (9,38,user,'1995-07-18 17:30:46');
INSERT INTO groupMember VALUES (9,61,user,'1998-06-12 00:09:03');
INSERT INTO groupMember VALUES (9,16,user,'1987-08-23 11:33:38');
INSERT INTO groupMember VALUES (9,18,user,'1980-07-26 17:36:24');
